basin_code,basin,category,category_label,CT,yy,mm,dd,hh,MWS,Rp,accumulated_precipitation_mm
NA,North Atlantic,TD,Tropical Depression,AL022002,2002,08,05,12,46.25,237.36,5793.0625
NA,North Atlantic,TD,Tropical Depression,AL022002,2002,08,05,18,37.0,380.64,7828.875
NA,North Atlantic,TD,Tropical Depression,AL022002,2002,08,06,00,27.75,473.29,1473.8125
NA,North Atlantic,TD,Tropical Depression,AL022002,2002,08,06,06,27.75,247.83,896.0
NA,North Atlantic,TD,Tropical Depression,AL022002,2002,08,06,12,27.75,296.85,2393.625
NA,North Atlantic,TD,Tropical Depression,AL022002,2002,08,06,18,27.75,271.82,3195.625
NA,North Atlantic,TD,Tropical Depression,AL022002,2002,08,07,00,37.0,480.06,780.1875
NA,North Atlantic,TD,Tropical Depression,AL022002,2002,08,07,06,37.0,209.62,1495.625
NA,North Atlantic,TD,Tropical Depression,AL022002,2002,08,07,12,46.25,277.12,1949.875
NA,North Atlantic,TD,Tropical Depression,AL022002,2002,08,07,18,46.25,219.17,1504.75
NA,North Atlantic,TD,Tropical Depression,AL022002,2002,08,08,00,46.25,675.72,2490.8125
NA,North Atlantic,TD,Tropical Depression,AL022002,2002,08,08,12,37.0,165.02,1964.6875
NA,North Atlantic,TD,Tropical Depression,AL022002,2002,08,08,18,37.0,190.44,349.9375
NA,North Atlantic,TD,Tropical Depression,AL022002,2002,08,09,00,37.0,731.87,2109.5
NA,North Atlantic,TD,Tropical Depression,AL022002,2002,08,09,06,37.0,235.38,832.625
NA,North Atlantic,TD,Tropical Depression,AL022002,2002,08,09,12,37.0,441.89,1912.0625
NA,North Atlantic,TD,Tropical Depression,AL022004,2004,08,03,12,46.25,385.86,0.0
NA,North Atlantic,TD,Tropical Depression,AL022004,2004,08,03,18,46.25,444.42,0.0
NA,North Atlantic,TD,Tropical Depression,AL022004,2004,08,04,00,55.5,558.29,1396.125
NA,North Atlantic,TD,Tropical Depression,AL022004,2004,08,04,06,55.5,508.58,4427.25
NA,North Atlantic,TD,Tropical Depression,AL022004,2004,08,04,12,55.5,544.94,10389.5625
NA,North Atlantic,TD,Tropical Depression,AL022004,2004,08,04,18,55.5,605.68,15697.25
NA,North Atlantic,TD,Tropical Depression,AL022004,2004,08,05,00,46.25,620.58,6902.125
NA,North Atlantic,TD,Tropical Depression,AL022004,2004,08,05,06,46.25,611.5,11015.9375
NA,North Atlantic,TD,Tropical Depression,AL022004,2004,08,05,12,46.25,661.2,19439.125
NA,North Atlantic,TD,Tropical Depression,AL022004,2004,08,05,18,46.25,568.75,17141.5625
NA,North Atlantic,TD,Tropical Depression,AL022004,2004,08,06,00,46.25,711.42,9346.1875
NA,North Atlantic,TD,Tropical Depression,AL022004,2004,08,06,06,46.25,597.23,13641.125
NA,North Atlantic,TD,Tropical Depression,AL022004,2004,08,06,12,46.25,642.91,10451.0625
NA,North Atlantic,TD,Tropical Depression,AL022004,2004,08,06,18,46.25,581.96,10900.1875
NA,North Atlantic,TD,Tropical Depression,AL022004,2004,08,07,00,46.25,664.17,6378.75
NA,North Atlantic,TD,Tropical Depression,AL022004,2004,08,07,06,37.0,586.8,2908.375
NA,North Atlantic,TD,Tropical Depression,AL022004,2004,08,07,12,37.0,385.7,644.0
NA,North Atlantic,TD,Tropical Depression,AL022004,2004,08,07,18,37.0,379.45,4285.9375
NA,North Atlantic,TD,Tropical Depression,AL022004,2004,08,08,00,37.0,575.34,11592.9375
NA,North Atlantic,TD,Tropical Depression,AL022004,2004,08,08,06,46.25,458.22,6580.4375
NA,North Atlantic,TD,Tropical Depression,AL022004,2004,08,08,12,46.25,439.07,1776.375
NA,North Atlantic,TD,Tropical Depression,AL022004,2004,08,08,18,46.25,722.42,12596.1875
NA,North Atlantic,TD,Tropical Depression,AL022004,2004,08,09,00,46.25,644.09,6144.375
NA,North Atlantic,TD,Tropical Depression,AL022004,2004,08,09,06,55.5,394.94,2712.6875
NA,North Atlantic,TD,Tropical Depression,AL022004,2004,08,12,18,55.5,754.78,28977.375
NA,North Atlantic,TD,Tropical Depression,AL022004,2004,08,13,00,46.25,615.18,16006.9375
NA,North Atlantic,TD,Tropical Depression,AL022004,2004,08,13,06,46.25,618.94,19735.25
NA,North Atlantic,TD,Tropical Depression,AL022005,2005,06,28,18,55.5,847.52,42587.9375
NA,North Atlantic,TD,Tropical Depression,AL022005,2005,06,29,18,46.25,450.12,10305.75
NA,North Atlantic,TD,Tropical Depression,AL022005,2005,06,30,00,46.25,567.32,11216.5625
NA,North Atlantic,TD,Tropical Depression,AL022007,2007,05,31,00,46.25,674.89,41083.5
NA,North Atlantic,TD,Tropical Depression,AL022007,2007,05,31,06,46.25,848.92,52652.0625
NA,North Atlantic,TD,Tropical Depression,AL022007,2007,05,31,12,46.25,857.33,45752.75
NA,North Atlantic,TD,Tropical Depression,AL022007,2007,05,31,18,46.25,823.36,44882.3125
NA,North Atlantic,TD,Tropical Depression,AL022007,2007,06,01,00,46.25,827.73,35164.875
NA,North Atlantic,TD,Tropical Depression,AL022007,2007,06,01,06,46.25,683.74,33148.25
NA,North Atlantic,TD,Tropical Depression,AL022007,2007,06,01,12,55.5,893.25,39612.8125
NA,North Atlantic,TD,Tropical Depression,AL022007,2007,06,02,18,55.5,1024.97,53910.625
NA,North Atlantic,TD,Tropical Depression,AL022010,2010,07,07,06,46.25,836.2,28458.125
NA,North Atlantic,TD,Tropical Depression,AL022010,2010,07,07,12,46.25,829.58,25573.3125
NA,North Atlantic,TD,Tropical Depression,AL022010,2010,07,07,18,55.5,799.71,33164.5625
NA,North Atlantic,TD,Tropical Depression,AL022010,2010,07,08,00,55.5,825.16,30943.1875
NA,North Atlantic,TD,Tropical Depression,AL022010,2010,07,08,06,55.5,748.0,25928.6875
NA,North Atlantic,TD,Tropical Depression,AL022010,2010,07,08,12,55.5,599.27,25413.5625
NA,North Atlantic,TD,Tropical Depression,AL022010,2010,07,08,18,46.25,635.66,29612.125
NA,North Atlantic,TD,Tropical Depression,AL022010,2010,07,09,00,46.25,719.85,22005.0625
NA,North Atlantic,TD,Tropical Depression,AL022010,2010,07,09,06,37.0,669.22,21141.625
NA,North Atlantic,TD,Tropical Depression,AL022010,2010,07,09,12,37.0,841.95,30187.9375
NA,North Atlantic,TD,Tropical Depression,AL022010,2010,07,09,18,37.0,424.04,9287.6875
NA,North Atlantic,TD,Tropical Depression,AL022010,2010,07,10,00,37.0,787.33,17617.25
NA,North Atlantic,TD,Tropical Depression,AL022011,2011,07,16,06,37.0,468.0,9707.3125
NA,North Atlantic,TD,Tropical Depression,AL022011,2011,07,16,12,37.0,769.37,12754.4375
NA,North Atlantic,TD,Tropical Depression,AL022011,2011,07,16,18,37.0,827.62,18291.5
NA,North Atlantic,TD,Tropical Depression,AL022011,2011,07,17,00,37.0,487.45,4003.6875
NA,North Atlantic,TD,Tropical Depression,AL022011,2011,07,17,06,37.0,321.56,6319.0625
NA,North Atlantic,TD,Tropical Depression,AL022011,2011,07,17,12,46.25,428.95,11828.125
NA,North Atlantic,TD,Tropical Depression,AL022011,2011,07,17,18,55.5,665.76,16514.75
NA,North Atlantic,TD,Tropical Depression,AL022012,2012,05,25,12,55.5,888.23,36691.5
NA,North Atlantic,TD,Tropical Depression,AL022012,2012,05,28,12,55.5,392.62,5566.8125
NA,North Atlantic,TD,Tropical Depression,AL022012,2012,05,28,18,55.5,232.94,3289.75
NA,North Atlantic,TD,Tropical Depression,AL022012,2012,05,29,00,46.25,311.28,5309.0625
NA,North Atlantic,TD,Tropical Depression,AL022012,2012,05,29,06,46.25,270.65,6463.4375
NA,North Atlantic,TD,Tropical Depression,AL022012,2012,05,29,12,46.25,473.09,9420.0625
NA,North Atlantic,TD,Tropical Depression,AL022012,2012,05,29,18,46.25,622.78,7152.6875
NA,North Atlantic,TD,Tropical Depression,AL022012,2012,05,30,00,46.25,684.99,12090.8125
NA,North Atlantic,TD,Tropical Depression,AL022013,2013,06,16,00,37.0,651.92,19384.0
NA,North Atlantic,TD,Tropical Depression,AL022013,2013,06,16,06,37.0,436.02,23039.0625
NA,North Atlantic,TD,Tropical Depression,AL022013,2013,06,16,12,46.25,577.12,31643.5625
NA,North Atlantic,TD,Tropical Depression,AL022013,2013,06,16,18,46.25,700.13,44126.6875
NA,North Atlantic,TD,Tropical Depression,AL022013,2013,06,17,00,46.25,972.64,35911.4375
NA,North Atlantic,TD,Tropical Depression,AL022013,2013,06,17,06,46.25,850.86,27829.375
NA,North Atlantic,TD,Tropical Depression,AL022013,2013,06,17,12,55.5,533.95,26069.0625
NA,North Atlantic,TD,Tropical Depression,AL022013,2013,06,17,18,55.5,619.2,21948.4375
NA,North Atlantic,TD,Tropical Depression,AL022013,2013,06,18,00,55.5,707.33,14284.625
NA,North Atlantic,TD,Tropical Depression,AL022013,2013,06,18,06,46.25,483.96,8159.25
NA,North Atlantic,TD,Tropical Depression,AL022013,2013,06,18,12,55.5,558.1,9194.5625
NA,North Atlantic,TD,Tropical Depression,AL022013,2013,06,18,18,55.5,627.32,16937.0
NA,North Atlantic,TD,Tropical Depression,AL022013,2013,06,19,00,55.5,699.17,18916.125
NA,North Atlantic,TD,Tropical Depression,AL022013,2013,06,19,06,55.5,587.42,10599.0625
NA,North Atlantic,TD,Tropical Depression,AL022013,2013,06,20,18,55.5,570.18,21511.25
NA,North Atlantic,TD,Tropical Depression,AL022013,2013,06,21,00,46.25,598.45,22291.0
NA,North Atlantic,TD,Tropical Depression,AL022015,2015,06,17,06,55.5,487.32,15437.9375
