basin_code,basin,category,category_label,CT,yy,mm,dd,hh,MWS,Rp,accumulated_precipitation_mm
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,07,06,83.25,995.26,44546.8125
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,07,12,92.5,688.85,56440.0625
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,07,18,101.7,996.01,42792.4375
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,08,00,101.7,865.91,39374.125
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,08,06,101.7,927.41,31854.375
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,08,12,83.25,1053.39,14466.5
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,08,18,83.25,1099.84,5087.5
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,09,00,83.25,1154.95,4500.8125
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,09,06,92.5,849.31,211.3125
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,10,18,111.0,1307.21,0.0
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,11,00,101.7,1274.76,0.0
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,11,06,101.7,862.32,0.0
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,11,12,101.7,740.7,0.0
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,11,18,92.5,1478.4,0.0
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,12,00,92.5,1055.1,0.0
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,12,06,92.5,1095.42,0.0
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,12,12,92.5,943.21,0.0
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,12,18,92.5,937.93,0.0
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,13,00,92.5,905.12,0.0
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,13,06,83.25,788.0,0.0
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,13,12,83.25,507.19,0.0
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,13,18,83.25,530.89,0.0
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,14,00,101.7,679.97,0.0
NA,North Atlantic,TS,Tropical Storm,AL012018,2018,05,26,18,64.75,1106.25,52911.625
NA,North Atlantic,TS,Tropical Storm,AL012018,2018,05,27,00,64.75,1071.59,34545.5625
NA,North Atlantic,TS,Tropical Storm,AL012018,2018,05,27,06,64.75,710.42,27088.4375
NA,North Atlantic,TS,Tropical Storm,AL012018,2018,05,27,12,74.0,617.92,35193.6875
NA,North Atlantic,TS,Tropical Storm,AL012018,2018,05,27,18,83.25,720.58,44676.3125
NA,North Atlantic,TS,Tropical Storm,AL012018,2018,05,28,00,101.7,871.92,32982.8125
NA,North Atlantic,TS,Tropical Storm,AL012018,2018,05,28,06,101.7,828.09,38775.9375
NA,North Atlantic,TS,Tropical Storm,AL012018,2018,05,28,12,92.5,821.04,50887.3125
NA,North Atlantic,TS,Tropical Storm,AL012018,2018,05,28,18,83.25,1041.18,59249.375
NA,North Atlantic,TS,Tropical Storm,AL012020,2020,05,17,00,64.75,652.47,14456.375
NA,North Atlantic,TS,Tropical Storm,AL012020,2020,05,17,06,64.75,733.42,15862.0
NA,North Atlantic,TS,Tropical Storm,AL012020,2020,05,17,12,64.75,554.77,11791.125
NA,North Atlantic,TS,Tropical Storm,AL012020,2020,05,17,18,74.0,568.28,9022.625
NA,North Atlantic,TS,Tropical Storm,AL012020,2020,05,18,00,74.0,622.25,6866.75
NA,North Atlantic,TS,Tropical Storm,AL012020,2020,05,18,06,74.0,460.86,11698.3125
NA,North Atlantic,TS,Tropical Storm,AL012020,2020,05,18,12,83.25,311.59,4243.6875
NA,North Atlantic,TS,Tropical Storm,AL012020,2020,05,20,12,92.5,978.93,13844.0
NA,North Atlantic,TS,Tropical Storm,AL012020,2020,05,20,18,83.25,1183.53,8796.6875
NA,North Atlantic,TS,Tropical Storm,AL012020,2020,05,21,00,74.0,862.14,5099.0
NA,North Atlantic,TS,Tropical Storm,AL012022,2022,06,03,06,64.8,765.89,31252.269486739067
NA,North Atlantic,TS,Tropical Storm,AL012022,2022,06,03,12,64.8,811.85,42913.02605511289
NA,North Atlantic,TS,Tropical Storm,AL012022,2022,06,03,18,64.8,852.41,38568.3324683205
NA,North Atlantic,TS,Tropical Storm,AL012022,2022,06,04,00,64.8,860.18,35009.13785457576
NA,North Atlantic,TS,Tropical Storm,AL012022,2022,06,04,06,64.8,924.23,32765.151159452507
NA,North Atlantic,TS,Tropical Storm,AL012022,2022,06,04,18,74.16000000000001,927.85,38837.1270082735
NA,North Atlantic,TS,Tropical Storm,AL012022,2022,06,05,06,83.16000000000001,778.3,34108.14375093335
NA,North Atlantic,TS,Tropical Storm,AL012022,2022,06,05,12,92.52,729.78,46026.61081004265
NA,North Atlantic,TS,Tropical Storm,AL012024,2024,06,17,18,64.8,1244.44,115089.66913495156
NA,North Atlantic,TS,Tropical Storm,AL012024,2024,06,18,00,64.8,759.65,48916.67620504909
NA,North Atlantic,TS,Tropical Storm,AL012024,2024,06,18,06,64.8,774.73,50392.13503005332
NA,North Atlantic,TS,Tropical Storm,AL012024,2024,06,18,12,64.8,818.9,52045.76426017174
NA,North Atlantic,TS,Tropical Storm,AL012024,2024,06,18,18,64.8,841.39,51967.76752720605
NA,North Atlantic,TS,Tropical Storm,AL012024,2024,06,19,00,64.8,880.12,49295.107680772606
NA,North Atlantic,TS,Tropical Storm,AL012024,2024,06,19,06,64.8,874.94,55808.217341037176
NA,North Atlantic,TS,Tropical Storm,AL012024,2024,06,19,12,64.8,780.92,48608.15724577621
